Geneid	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821918.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821919.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821920.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821921.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821922.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821937.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821938.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821939.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821949.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821950.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821951.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821952.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821953.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821968.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821969.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821970.sorted.bam
ENSMUSG00000015961	2122	2288	2021	2490	2137	2254	1237	2949	1363	1132	1596	1153	1017	1086	414	755
ENSMUSG00000089657	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000102483	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000014980	270	251	250	296	274	456	401	575	126	86	130	84	65	108	64	75
ENSMUSG00000026235	350	310	270	378	381	1021	797	1242	4	0	5	1	0	63	30	25
ENSMUSG00000099141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032649	140	123	149	118	130	1250	1360	1236	0	0	0	0	1	21	6	9
ENSMUSG00000101849	0	0	0	0	1	3	4	3	0	0	0	0	0	0	0	0
ENSMUSG00000101506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102052	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026047	455	390	351	456	341	608	586	716	180	169	184	178	114	49	29	68
ENSMUSG00000080878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091476	72	103	106	112	130	137	121	215	2	0	0	0	0	0	13	1
ENSMUSG00000104097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000119789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102493	2	1	1	1	2	1	2	1	2	0	0	0	0	0	0	0
ENSMUSG00000004872	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000118426	1	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0
ENSMUSG00000041684	414	341	352	360	325	516	293	580	167	132	233	190	152	48	36	76
ENSMUSG00000032908	737	694	640	989	781	1210	1004	1636	0	0	0	0	0	38	9	20
ENSMUSG00000099561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026502	1338	1388	1156	1559	1491	1164	604	1275	1117	787	1136	822	824	378	148	299
ENSMUSG00000103958	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104126	17	15	13	12	18	12	20	6	4	5	18	9	5	0	1	4
ENSMUSG00000026500	328	288	261	285	272	592	216	694	300	226	320	259	175	373	178	325
ENSMUSG00000026048	983	1058	1050	1217	1337	1442	1411	1594	322	232	368	262	305	356	117	207
ENSMUSG00000046828	67	43	40	48	65	25	2	19	0	0	0	0	0	0	0	0
ENSMUSG00000089703	0	4	0	0	0	4	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000100966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101567	0	1	0	4	0	0	0	0	0	1	3	2	1	0	0	0
ENSMUSG00000026245	1266	1253	1048	1409	1178	1303	1003	1510	1032	738	892	844	638	561	205	350
ENSMUSG00000101798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104018	7	8	15	9	13	13	7	31	0	0	1	1	2	10	1	2
ENSMUSG00000090486	2	7	6	3	4	14	11	13	0	0	0	0	0	0	0	0
ENSMUSG00000026482	1984	1829	1495	1988	1965	3973	4492	4206	1742	1285	1662	1764	1143	314	170	244
ENSMUSG00000086145	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0
ENSMUSG00000080950	2	8	6	8	4	1	6	3	3	0	1	0	0	0	2	0
ENSMUSG00000099868	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055547	15	28	17	25	13	23	21	35	0	0	1	0	0	0	0	0
ENSMUSG00000012187	7	9	11	9	7	27	26	23	0	0	0	0	0	0	0	6
ENSMUSG00000008475	7593	7552	6448	8483	7596	5306	4617	6432	10489	8284	12680	8628	8066	4764	2368	3979
ENSMUSG00000099364	2	0	0	1	1	14	7	18	0	0	0	0	0	0	0	0
ENSMUSG00000100562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056870	232	208	221	225	230	720	284	757	2	0	0	1	2	12	5	3
ENSMUSG00000102319	1	3	5	0	1	6	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000089877	1	1	2	0	0	2	5	2	0	0	0	0	0	0	0	0
ENSMUSG00000101701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103071	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000100434	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
